Series_Title,Released_Year,Keywords,date_details,Certificate
The Godfather,1972,"['based on novel or book', 'loss of loved one', 'love at first sight', 'italy', 'gangster', 'symbolism', 'patriarch', 'europe', 'organized crime', 'mafia', 'religion', 'lawyer', 'revenge motive', 'crime family', 'sicilian mafia', 'religious hypocrisy', 'gun violence', 'rise to power', 'dead horse', 'gang violence', '1940s', '1950s', 'complex', 'mafia war', 'amused', 'compassionate', 'complicated', 'enchant', 'le parrain', 'ο νονός', 'крёстный отец']",1972-03-14,R
The Dark Knight,2008,"['sadism', 'chaos', 'secret identity', 'crime fighter', 'superhero', 'anti hero', 'scarecrow', 'based on comic', 'vigilante', 'organized crime', 'tragic hero', 'anti villain', 'criminal mastermind', 'district attorney', 'super power', 'super villain', 'neo-noir', 'bold']",2008-07-14,PG-13
The Godfather: Part II,1974,"[""new year's eve"", 'new york city', 'based on novel or book', 'italian american', 'cuba', 'italy', 'gangster', 'praise', 'blackmail', 'symbolism', 'senator', 'revenge', 'murder', 'betrayal', 'organized crime', 'extortion', 'mafia', 'lawyer', 'suburb', 'sicilian mafia', 'corrupt politician', 'aggressive', '1950s', 'new year', 'vindictive', 'cautionary', 'violence', 'admiring', 'audacious']",1974-12-12,R
12 Angry Men,1957,"['death penalty', 'anonymity', 'court case', 'court', 'judge', 'jurors', 'father murder', 'class', 'heat', 'innocence', 'puerto rico', 'based on play or musical', 'black and white', 'courtroom', 'courtroom drama', 'dialog driven', 'persidangan', 'sidang']",1957-04-10,NR
The Lord of the Rings: The Return of the King,2003,"['army', 'based on novel or book', 'elves', 'dwarf', 'magic', 'kingdom', 'obsession', 'bravery', 'castle', 'volcano', 'giant spider', 'sequel', 'honor', 'king', 'brutality', 'madness', 'split personality', 'fantasy world', 'wizard', 'epic battle', 'journey', 'ring', 'quest', 'live action and animation', ""hero's journey"", 'high fantasy', 'wraith', 'sword and sorcery', 'power madness', 'great war', 'trekking', 'good versus evil', 'sword making', 'war', 'admiring', 'winged creatures', 'armies', 'spirits']",2003-12-01,PG-13
Pulp Fiction,1994,"['drug dealer', 'boxer', 'massage', 'stolen money', 'briefcase', 'crime boss', 'redemption', 'heirloom', 'dance competition', 'los angeles, california', 'theft', 'nonlinear timeline', 'multiple storylines', 'neo-noir']",1994-05-21,R
Schindler's List,1993,"['factory', 'hero', 'nazi', 'concentration camp', 'ss (nazi schutzstaffel)', 'holocaust (shoah)', 'world war ii', 'ghetto', 'jew persecution', 'kraków, poland', 'defense industry', 'auschwitz-birkenau concentration camp', 'biography', 'based on true story', 'industrialist', 'historical fiction', 'black and white', 'train', 'poland', 'evil', 'weapons manufacturer', 'nazi train']",1993-11-30,R
Inception,2010,"['rescue', 'mission', 'dreams', 'airplane', 'paris, france', 'virtual reality', 'kidnapping', 'philosophy', 'spy', 'allegory', 'manipulation', 'car crash', 'heist', 'memory', 'architecture', 'los angeles, california', 'dream world', 'subconscious']",2010-07-08,PG-13
Fight Club,1999,"['dual identity', 'rage and hate', 'based on novel or book', 'nihilism', 'fight', 'support group', 'dystopia', 'insomnia', 'alter ego', 'breaking the fourth wall', 'split personality', 'quitting a job', 'dissociative identity disorder', 'self destructiveness']",1999-09-10,R
The Lord of the Rings: The Fellowship of the Ring,2001,"['based on novel or book', 'elves', 'dwarf', 'magic', 'obsession', 'bravery', 'fireworks', 'mine', 'maze', 'mountain', 'castle', 'birthday party', 'troll', 'battle', 'demon', 'blizzard', 'uncle nephew relationship', 'fantasy world', 'journey', 'ring', 'invisibility', 'live action and animation', ""hero's journey"", 'wraith', 'sword and sorcery', 'trekking', 'good versus evil', 'inspirational']",2001-12-10,PG-13
Forrest Gump,1994,"[""new year's eve"", 'vietnam war', 'vietnam veteran', 'mentally disabled', 'friendship', 'usa president', 'washington dc, usa', 'post-traumatic stress disorder (ptsd)', 'waitress', 'based on novel or book', 'hippie', 'single parent', 'parent child relationship', 'optimism', '1970s', 'drug addiction', 'autism', 'alabama', 'black panther party', 'bus stop', 'family relationships', 'chameleon', 'single mother', 'cynical', 'blunt', 'military', 'anti war protest', '1960s', 'college american football', 'mother son relationship', 'america', 'arrogant', 'cliché', 'disapproving', 'melodramatic', 'feel-good']",1994-06-23,PG-13
"Il buono, il brutto, il cattivo",1966,"['gold', 'army', 'bounty hunter', 'hitman', 'refugee', 'anti hero', 'moral ambiguity', 'gallows', 'outlaw', 'gun battle', 'shootout', 'spaghetti western', 'graveyard', 'american civil war', 'stolen gold', 'complex', 'hidden gold', 'gun death', 'cemetary', 'confederate gold']",1966-12-22,R
The Lord of the Rings: The Two Towers,2002,"['mission', 'army', 'based on novel or book', 'elves', 'dwarf', 'magic', 'obsession', 'bravery', 'castle', 'reincarnation', 'sequel', 'battle', 'brutality', 'guide', 'split personality', 'marsh', 'fantasy world', 'wizard', 'journey', 'ring', 'live action and animation', ""hero's journey"", 'high fantasy', 'wraith', 'sword and sorcery', 'trekking', 'evil spell', 'good versus evil', 'trees', 'admiring', 'amused', 'winged creatures']",2002-12-18,PG-13
The Matrix,1999,"['man vs machine', 'martial arts', 'dreams', 'artificial intelligence (a.i.)', 'saving the world', 'hacker', 'self sacrifice', 'virtual reality', 'fight', 'prophecy', 'truth', 'philosophy', 'dystopia', 'insurgence', 'simulated reality ', 'cyberpunk', 'dream world', 'messiah', 'action hero', 'gnosticism', 'allegory of the cave']",1999-03-24,R
Goodfellas,1990,"['prison', 'florida', 'new york city', 'based on novel or book', 'gangster', 'mass murder', 'drug trafficking', '1970s', 'irish-american', 'gore', 'biography', 'based on true story', 'murder', 'organized crime', 'mafia', 'brooklyn, new york city', 'crime epic', 'tampa, florida']",1990-09-09,R
Star Wars: Episode V - The Empire Strikes Back,1980,"['rebellion', 'android', 'spacecraft', 'asteroid', 'rebel', 'space battle', 'snowstorm', 'space colony', 'swamp', 'space opera', 'nostalgic', 'artic', 'excited', 'star wars']",1980-05-17,PG
One Flew Over the Cuckoo's Nest,1975,"['mentally disabled', 'friendship', 'based on novel or book', 'nurse', 'lunatic asylum', 'insane asylum', 'oregon, usa', 'hospital', 'medication', 'female villain', 'shock treatment', 'depressing', 'informative']",1975-11-19,R
Hamilton,2020,"['adultery', 'corruption', 'upper class', 'presidential election', 'musical', 'biography', 'stage show', 'based on play or musical', '18th century', 'broadway musical', 'pistol duel', 'american revolution', 'revolutionary war', 'founding fathers', 'stage musical', 'filmed play', 'live theatre', 'filmed theater', 'musical proshot']",2020-07-03,PG-13
Gisaengchung,2019,"['dark comedy', 'private lessons', 'birthday party', 'con artist', 'working class', 'infiltration', 'psychological thriller', 'class differences', 'housekeeper', 'tutor', 'family', 'hidden room', 'unemployed', 'hiding in attic', 'domestic worker', 'wealthy family', 'south korea', 'caste violence', 'seoul, south korea']",2019-05-21,R
Soorarai Pottru,2020,['biographical fiction'],2020-11-12,
Interstellar,2014,"['rescue', 'future', 'spacecraft', 'race against time', 'artificial intelligence (a.i.)', 'nasa', 'time warp', 'dystopia', 'expedition', 'space travel', 'wormhole', 'famine', 'hibernation', 'black hole', 'quantum mechanics', 'family relationships', 'space', 'robot', 'astronaut', 'scientist', 'single father', 'farmer', 'space station', 'space adventure', 'time paradox', 'cryonics', 'father daughter relationship', '2060s', 'cornfield', 'time manipulation']",2014-10-26,PG-13
Cidade de Deus,2002,"['street gang', 'photographer', 'gangster', 'rio de janeiro', 'gang war', 'ghetto', 'based on true story', 'coming of age', 'introspective', 'critical', 'tense', 'conceited']",2002-05-18,R
Sen to Chihiro no kamikakushi,2001,"['witch', 'parent child relationship', 'darkness', 'bath house', 'magic', 'spirit', 'parallel world', 'amusement park', 'youkai', 'japanese mythology', 'anime']",2001-07-20,PG
Saving Private Ryan,1998,"['dying and death', 'epic', 'self sacrifice', 'bravery', 'world war ii', 'duty', 'normandy, france', 'troops', 'waffen ss', 'omaha beach', 'rescue mission', 'cowardice', 'us army', 'based on true story', 'd-day', 'military', 'german soldier', 'military operation', '1940s', 'bloody deaths', 'u.s. army soldier', 'u.s. army ranger', 'massive casualties']",1998-07-21,R
The Green Mile,1999,"['mentally disabled', 'based on novel or book', 'southern usa', 'psychopath', 'death row', 'jail guard', 'supernatural', 'great depression', 'prison guard', 'jail', 'electric chair', 'torture', 'magic realism', 'healing', 'grim', '1930s', 'abuse of power', 'depressed', 'ambiguous', 'authoritarian', 'cruel', 'hopeful']",1999-12-06,R
La vita è bella,1997,"['dying and death', 'bookshop', ""love of one's life"", 'nazi', 'self sacrifice', 'loss of loved one', 'italy', 'riddle', 'mass murder', 'concentration camp', 'fascism', 'holocaust (shoah)', 'world war ii', 'deportation', 'jew persecution', 'story teller', 'riding a bicycle', 'national socialism', 'dark comedy', 'charade', 'concentration camp prisoner', 'romcom', 'dark', 'war', 'nazi germany', 'admiring']",1997-12-20,PG-13
Se7en,1995,"['rage and hate', 'police', 's.w.a.t.', 'sadism', 'self-fulfilling prophecy', 'psychopath', 'detective', 'investigation', 'insomnia', 'murder', 'serial killer', 'religion', 'shootout', 'corpse', 'macabre', 'seven deadly sins', 'depravity', 'neo-noir', 'calm', 'urban gothic', 'ambiguous', 'ominous', 'seven: los siete pecados capitales']",1995-09-15,R
The Silence of the Lambs,1991,"['based on novel or book', 'kidnapping', 'psychopath', 'fbi', 'scientific study', 'murder', 'serial killer', 'psychological thriller', 'brutality', 'cannibal', 'psychiatrist', 'moth', 'virginia', 'neo-noir', 'twisted', 'skinning', 'past history', 'suspenseful', 'foreboding', 'ominous', 'psychological profiling']",1991-01-30,R
Star Wars,1977,"['empire', 'galaxy', 'rebellion', 'android', 'hermit', 'smuggling (contraband)', 'freedom', 'rebel', 'rescue mission', 'space', 'planet', 'desert', 'super power', 'oppression', 'space opera', 'wizard', 'totalitarianism', 'awestruck', 'excited']",1977-05-01,PG
Seppuku,1962,"['suicide', 'japan', 'samurai', 'asia', 'flashback', 'revenge', 'poverty', 'black and white', 'seppuku', 'ronin', 'jidaigeki', 'edo period', '17th century', 'shogunate', 'bushi', 'bakumatsu', 'distressing', 'excited']",1962-09-15,NR
Shichinin no samurai,1954,"['epic', 'martial arts', 'japan', 'samurai', 'sword', 'peasant', 'village', 'looting', 'rice', 'fencing', 'moral ambiguity', 'black and white', 'battle', 'bandit', 'practice', 'jidaigeki', 'domineering', '16th century', 'plunder', 'bushi', 'awestruck']",1954-04-26,NR
It's a Wonderful Life,1946,"['small town', 'angel', 'suicide attempt', 'holiday', 'bank', 'melancholy', 'great depression', 'family business ', 'black and white', 'nervous breakdown', 'old house', 'newlywed', 'magic realism', 'told in flashback', 'alternative reality', 'guardian angel', 'high school dance', 'christmas', 'earnest', 'hopeful', 'sincere', 'xmas eve']",1946-12-20,PG
