Budget,Certificate,Gross,Keywords,Original_Language,Popularity,Production_Companies,Production_Countries,Released_Year,Revenue,Series_Title,date_details
6000000,R,245066411.0,"['based on novel or book', 'loss of loved one', 'love at first sight', 'italy', 'gangster', 'symbolism', 'patriarch', 'europe', 'organized crime', 'mafia', 'religion', 'lawyer', 'revenge motive', 'crime family', 'sicilian mafia', 'religious hypocrisy', 'gun violence', 'rise to power', 'dead horse', 'gang violence', '1940s', '1950s', 'complex', 'mafia war', 'amused', 'compassionate', 'complicated', 'enchant', 'le parrain', 'ο νονός', 'крёстный отец']",en,26.3622,"['Paramount Pictures', 'Alfran Productions']",['United States of America'],1972,245066411,The Godfather,1972-03-14
185000000,PG-13,1004558444.0,"['sadism', 'chaos', 'secret identity', 'crime fighter', 'superhero', 'anti hero', 'scarecrow', 'based on comic', 'vigilante', 'organized crime', 'tragic hero', 'anti villain', 'criminal mastermind', 'district attorney', 'super power', 'super villain', 'neo-noir', 'bold']",en,29.9949,"['Warner Bros. Pictures', 'Legendary Pictures', 'Syncopy', 'DC']","['United Kingdom', 'United States of America']",2008,1004558444,The Dark Knight,2008-07-14
13000000,R,102600000.0,"[""new year's eve"", 'new york city', 'based on novel or book', 'italian american', 'cuba', 'italy', 'gangster', 'praise', 'blackmail', 'symbolism', 'senator', 'revenge', 'murder', 'betrayal', 'organized crime', 'extortion', 'mafia', 'lawyer', 'suburb', 'sicilian mafia', 'corrupt politician', 'aggressive', '1950s', 'new year', 'vindictive', 'cautionary', 'violence', 'admiring', 'audacious']",en,16.6569,"['Paramount Pictures', 'The Coppola Company']",['United States of America'],1974,102600000,The Godfather: Part II,1974-12-12
397751,NR,4360000.0,"['death penalty', 'anonymity', 'court case', 'court', 'judge', 'jurors', 'father murder', 'class', 'heat', 'innocence', 'puerto rico', 'based on play or musical', 'black and white', 'courtroom', 'courtroom drama', 'dialog driven', 'persidangan', 'sidang']",en,12.3449,"['United Artists', 'Orion-Nova Productions']",['United States of America'],1957,4360000,12 Angry Men,1957-04-10
94000000,PG-13,1118888979.0,"['army', 'based on novel or book', 'elves', 'dwarf', 'magic', 'kingdom', 'obsession', 'bravery', 'castle', 'volcano', 'giant spider', 'sequel', 'honor', 'king', 'brutality', 'madness', 'split personality', 'fantasy world', 'wizard', 'epic battle', 'journey', 'ring', 'quest', 'live action and animation', ""hero's journey"", 'high fantasy', 'wraith', 'sword and sorcery', 'power madness', 'great war', 'trekking', 'good versus evil', 'sword making', 'war', 'admiring', 'winged creatures', 'armies', 'spirits']",en,23.6182,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",2003,1118888979,The Lord of the Rings: The Return of the King,2003-12-01
8000000,R,213928762.0,"['drug dealer', 'boxer', 'massage', 'stolen money', 'briefcase', 'crime boss', 'redemption', 'heirloom', 'dance competition', 'los angeles, california', 'theft', 'nonlinear timeline', 'multiple storylines', 'neo-noir']",en,19.3595,"['Miramax', 'A Band Apart', 'Jersey Films']",['United States of America'],1994,213928762,Pulp Fiction,1994-05-21
22000000,R,321365567.0,"['factory', 'hero', 'nazi', 'concentration camp', 'ss (nazi schutzstaffel)', 'holocaust (shoah)', 'world war ii', 'ghetto', 'jew persecution', 'kraków, poland', 'defense industry', 'auschwitz-birkenau concentration camp', 'biography', 'based on true story', 'industrialist', 'historical fiction', 'black and white', 'train', 'poland', 'evil', 'weapons manufacturer', 'nazi train']",en,16.821,['Amblin Entertainment'],['United States of America'],1993,321365567,Schindler's List,1993-11-30
160000000,PG-13,839030630.0,"['rescue', 'mission', 'dreams', 'airplane', 'paris, france', 'virtual reality', 'kidnapping', 'philosophy', 'spy', 'allegory', 'manipulation', 'car crash', 'heist', 'memory', 'architecture', 'los angeles, california', 'dream world', 'subconscious']",en,30.2926,"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",['United States of America'],2010,839030630,Inception,2010-07-08
63000000,R,100853753.0,"['dual identity', 'rage and hate', 'based on novel or book', 'nihilism', 'fight', 'support group', 'dystopia', 'insomnia', 'alter ego', 'breaking the fourth wall', 'split personality', 'quitting a job', 'dissociative identity disorder', 'self destructiveness']",en,25.5065,"['Fox 2000 Pictures', 'Regency Enterprises', 'Linson Entertainment', '20th Century Fox', 'Taurus Film']","['Germany', 'United States of America']",1999,100853753,Fight Club,1999-09-10
93000000,PG-13,871368364.0,"['based on novel or book', 'elves', 'dwarf', 'magic', 'obsession', 'bravery', 'fireworks', 'mine', 'maze', 'mountain', 'castle', 'birthday party', 'troll', 'battle', 'demon', 'blizzard', 'uncle nephew relationship', 'fantasy world', 'journey', 'ring', 'invisibility', 'live action and animation', ""hero's journey"", 'wraith', 'sword and sorcery', 'trekking', 'good versus evil', 'inspirational']",en,24.5694,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",2001,871368364,The Lord of the Rings: The Fellowship of the Ring,2001-12-10
